Designator,Mid X,Mid Y,Rotation,Layer
C1,129.54,-71.12,180.0,bottom
C10,167.64,-99.06,180.0,top
C11,152.4,-119.38,0.0,top
C12,137.16,-104.14,0.0,top
C13,144.78,-88.9,0.0,top
C14,119.38,-91.44,180.0,top
C15,129.54,-124.46,180.0,top
C2,129.54,-73.66,180.0,bottom
C3,136.2975,-86.36,180.0,bottom
C4,136.2975,-91.44,180.0,bottom
C5,121.92,-91.44,0.0,bottom
C6,106.68,-111.76,0.0,top
C7,98.97,-95.58,180.0,top
C8,116.84,-76.2,180.0,top
C9,144.78,-73.66,180.0,top
D1,106.68,-116.84,180.0,top
D10,129.54,-129.54,180.0,top
D2,99.06,-91.44,0.0,top
D3,116.84,-71.12,0.0,top
D4,144.78,-68.58,0.0,top
D5,167.64,-93.98,0.0,top
D6,152.31,-124.46,180.0,top
D7,137.16,-109.22,180.0,top
D8,144.78,-93.98,180.0,top
D9,119.38,-96.52,180.0,top
R1,111.76,-116.84,90.0,top
R2,129.54,-134.62,0.0,top
TP1,137.16,-81.28,180.0,bottom
TP2,142.24,-81.28,180.0,bottom
TP3,132.08,-58.42,0.0,top
U1,129.4025,-78.74,180.0,bottom
U2,128.6775,-88.9,180.0,bottom
